site,theme,subtheme,id,title,data_as_of,data_source,link_csv,link_parquet,has_editions,description
data.gov.my,Prices,Consumer Prices,cpi_annual,Annual CPI by Division (2-digit),2025,DOSM,https://storage.dosm.gov.my/cpi/cpi_2d_annual.csv,https://storage.dosm.gov.my/cpi/cpi_2d_annual.parquet,no,"National-level CPI for 13 main groups of goods and services, from 1960 to the present day."
data.gov.my,Prices,Consumer Prices,cpi_annual_inflation,Annual CPI Inflation by Division (2-digit),2025,DOSM,https://storage.dosm.gov.my/cpi/cpi_2d_annual_inflation.csv,https://storage.dosm.gov.my/cpi/cpi_2d_annual_inflation.parquet,no,"National-level CPI inflation for 13 main groups of goods and services, from 1961 to the present."
data.gov.my,Prices,Consumer Prices,cpi_headline,Monthly CPI by Division (2-digit),2026-06,DOSM,https://storage.dosm.gov.my/cpi/cpi_2d.csv,https://storage.dosm.gov.my/cpi/cpi_2d.parquet,no,National-level CPI for 13 main groups of goods and services.
data.gov.my,Prices,Consumer Prices,cpi_headline_inflation,Monthly CPI Inflation by Division (2-digit),2026-06,DOSM,https://storage.dosm.gov.my/cpi/cpi_2d_inflation.csv,https://storage.dosm.gov.my/cpi/cpi_2d_inflation.parquet,no,National-level CPI inflation for 13 main groups of goods and services
data.gov.my,Prices,Consumer Prices,cpi_core,Monthly Core CPI by Division (2-digit),2026-06,DOSM,https://storage.dosm.gov.my/cpi/cpi_2d_core.csv,https://storage.dosm.gov.my/cpi/cpi_2d_core.parquet,no,National-level core CPI for 13 main groups of goods and services.
data.gov.my,Prices,Consumer Prices,cpi_core_inflation,Monthly Core CPI Inflation by Division (2-digit),2026-06,DOSM,https://storage.dosm.gov.my/cpi/cpi_2d_core_inflation.csv,https://storage.dosm.gov.my/cpi/cpi_2d_core_inflation.parquet,no,National-level core CPI inflation for 13 main groups of goods and services.
data.gov.my,Prices,Consumer Prices,cpi_state,Monthly CPI by State & Division (2-digit),2026-06,DOSM,https://storage.dosm.gov.my/cpi/cpi_2d_state.csv,https://storage.dosm.gov.my/cpi/cpi_2d_state.parquet,no,State-level CPI for 13 main groups of goods and services.
data.gov.my,Prices,Consumer Prices,cpi_state_inflation,Monthly CPI Inflation by State & Division (2-digit),2026-06,DOSM,https://storage.dosm.gov.my/cpi/cpi_2d_state_inflation.csv,https://storage.dosm.gov.my/cpi/cpi_2d_state_inflation.parquet,no,State-level CPI inflation for 13 main groups of goods and services
data.gov.my,Prices,Consumer Prices,cpi_3d,Monthly CPI by Group (3-digit),2026-06,DOSM,https://storage.dosm.gov.my/cpi/cpi_3d.csv,https://storage.dosm.gov.my/cpi/cpi_3d.parquet,no,National-level CPI at group granularity. The table below provides a preview of the full dataset using the latest month of data only.
data.gov.my,Prices,Consumer Prices,cpi_4d,Monthly CPI by Class (4-digit),2026-06,DOSM,https://storage.dosm.gov.my/cpi/cpi_4d.csv,https://storage.dosm.gov.my/cpi/cpi_4d.parquet,no,National-level CPI at class granularity. The table below provides a preview of the full dataset using the latest month of data only.
data.gov.my,Prices,Consumer Prices,cpi_5d,Monthly CPI by Subclass (5-digit),2026-06,DOSM,https://storage.dosm.gov.my/cpi/cpi_5d.csv,https://storage.dosm.gov.my/cpi/cpi_5d.parquet,no,National-level CPI at subclass granularity. The table below provides a preview of the full dataset using the latest month of data only.
data.gov.my,Prices,Consumer Prices,cpi_strata,Monthly CPI by Strata & Division (2-digit),2026-06,DOSM,https://storage.dosm.gov.my/cpi/cpi_2d_strata.csv,https://storage.dosm.gov.my/cpi/cpi_2d_strata.parquet,no,CPI by strata (urban/rural) for 13 main groups of goods and services.
data.gov.my,Prices,Consumer Prices,cpi_lowincome,Monthly CPI for Low-Income Households,2026-06,DOSM,https://storage.dosm.gov.my/cpi/cpi_2d_lowincome.csv,https://storage.dosm.gov.my/cpi/cpi_2d_lowincome.parquet,no,National-level CPI for low-income households (< RM3000 per month) across 13 main groups of goods and services.
data.gov.my,Prices,Consumer Prices,pricecatcher,PriceCatcher: Transactional Records,2026-08-15 23:59,KPDN; DOSM,https://storage.data.gov.my/pricecatcher/pricecatcher_YYYY-MM-DD.csv,https://storage.data.gov.my/pricecatcher/pricecatcher_YYYY-MM-DD.parquet,yes,"The table below provides a preview of the full dataset, which contains over a million price records per month. We recommend that you download and work with the data in your preferred coding environment - Microsoft Excel will likely be insufficient due to the size of the dataset. This data should be used in conjuction with the Item Lookup and Premise Lookup tables."
data.gov.my,Prices,Consumer Prices,lookup_premise,PriceCatcher: Premise Lookup,2026-08-10 23:59,KPDN; DOSM,https://storage.data.gov.my/pricecatcher/lookup_premise.csv,https://storage.data.gov.my/pricecatcher/lookup_premise.parquet,no,"Lookup table, to be left-joined against premise code in the main PriceCatcher data."
data.gov.my,Prices,Consumer Prices,lookup_item,PriceCatcher: Item Lookup,2023-11-09 23:59,KPDN; DOSM,https://storage.data.gov.my/pricecatcher/lookup_item.csv,https://storage.data.gov.my/pricecatcher/lookup_item.parquet,no,"Lookup table, to be left-joined against item code in the main PriceCatcher data."
data.gov.my,Prices,Producer Prices,ppi,Monthly Producer Price Index (PPI),2026-06,DOSM,https://storage.dosm.gov.my/ppi/ppi.csv,https://storage.dosm.gov.my/ppi/ppi.parquet,no,"Monthly headline producer price index (PPI), with and without seasonal adjustment."
data.gov.my,Prices,Producer Prices,ppi_1d,Monthly PPI by Section (1 digit),2026-06,DOSM,https://storage.dosm.gov.my/ppi/ppi_1d.csv,https://storage.dosm.gov.my/ppi/ppi_1d.parquet,no,"Monthly producer price index (PPI) by MSIC section (1 digit), with and without seasonal adjustment."
