state,year,indicator,value,source,precision
Kelantan,2020,avg_receipts_per_capita_rm,256.6979,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2021,avg_receipts_per_capita_rm,248.4329,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2022,avg_receipts_per_capita_rm,390.2465,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2023,avg_receipts_per_capita_rm,427.6364,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2024,avg_receipts_per_capita_rm,432.0,DTS 2024 state PDF (Table 1),as printed
Kelantan,2017,avg_receipts_per_trip_rm,281.6569,DTS 2023 state XLSX (Table 1),exact
Kelantan,2018,avg_receipts_per_trip_rm,281.0457,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2019,avg_receipts_per_trip_rm,301.6754,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2020,avg_receipts_per_trip_rm,236.7656,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2021,avg_receipts_per_trip_rm,242.0371,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2022,avg_receipts_per_trip_rm,294.4328,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2023,avg_receipts_per_trip_rm,347.1459,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2024,avg_receipts_per_trip_rm,364.0,DTS 2024 state PDF (Table 1),as printed
Kelantan,2017,avg_length_of_stay_nights,2.9416,DTS 2023 state XLSX (Table 1),exact
Kelantan,2018,avg_length_of_stay_nights,2.8805,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2019,avg_length_of_stay_nights,3.01,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2020,avg_length_of_stay_nights,1.8586,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2021,avg_length_of_stay_nights,3.1385,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2022,avg_length_of_stay_nights,3.1584,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2023,avg_length_of_stay_nights,3.0735,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2024,avg_length_of_stay_nights,2.98,DTS 2024 state PDF (Table 1),as printed
Kelantan,2025,domestic_visitors_thousand,12062.0,DTS 2025 Malaysia PDF (Table 9),as printed
Melaka,2017,total_receipts_rm_million,4969.2213,DTS 2023 state XLSX (Table 1),exact
Melaka,2018,total_receipts_rm_million,5563.5362,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2019,total_receipts_rm_million,6369.8928,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2020,total_receipts_rm_million,2372.6251,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2021,total_receipts_rm_million,1004.1127,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2022,total_receipts_rm_million,4842.5936,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2023,total_receipts_rm_million,6438.4111,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2024,total_receipts_rm_million,7933.0,DTS 2024 state PDF (Table 1),as printed
