state,component,receipts_rm_thousand_2023,receipts_rm_thousand_2024,share_pct_2023,share_pct_2024
Selangor,expenditure_by_visited_households,720570.0,727363.0,6.5,5.1
Selangor,total_receipts,11102713.0,14226126.0,100.0,100.0
Terengganu,expenditure_by_visitors,3897474.0,4753359.0,93.0,91.9
Terengganu,shopping,1650481.0,2033824.0,39.4,39.3
Terengganu,automotive_fuel,582975.0,663228.0,13.9,12.8
Terengganu,transportation,248973.0,309689.0,5.9,6.0
Terengganu,food_and_beverage,791250.0,947370.0,18.9,18.3
Terengganu,accommodation,359323.0,437078.0,8.6,8.5
Terengganu,pre_trip_package_entrance_tickets,98603.0,140166.0,2.4,2.7
Terengganu,other_activities,165869.0,222002.0,4.0,4.3
Terengganu,expenditure_by_visited_households,294844.0,417004.0,7.0,8.1
Terengganu,total_receipts,4192317.0,5170363.0,100.0,100.0
W.P. Kuala Lumpur,expenditure_by_visitors,10615475.0,13642400.0,96.5,96.9
W.P. Kuala Lumpur,shopping,4850552.0,6778855.0,44.1,48.2
W.P. Kuala Lumpur,automotive_fuel,851337.0,1149982.0,7.7,8.2
W.P. Kuala Lumpur,transportation,615285.0,734185.0,5.6,5.2
W.P. Kuala Lumpur,food_and_beverage,1594886.0,2070359.0,14.5,14.7
W.P. Kuala Lumpur,accommodation,1673791.0,1702978.0,15.2,12.1
W.P. Kuala Lumpur,pre_trip_package_entrance_tickets,419556.0,505596.0,3.8,3.6
W.P. Kuala Lumpur,other_activities,610067.0,700445.0,5.5,5.0
W.P. Kuala Lumpur,expenditure_by_visited_households,379849.0,435258.0,3.5,3.1
W.P. Kuala Lumpur,total_receipts,10995324.0,14077658.0,100.0,100.0
W.P. Labuan,expenditure_by_visitors,182509.0,246296.0,94.0,93.1
W.P. Labuan,shopping,65358.0,93915.0,33.7,35.5
W.P. Labuan,automotive_fuel,17533.0,25231.0,9.0,9.5
W.P. Labuan,transportation,20017.0,24050.0,10.3,9.1
W.P. Labuan,food_and_beverage,30999.0,43516.0,16.0,16.4
W.P. Labuan,accommodation,37054.0,38390.0,19.1,14.5
