state,year,indicator,value
Negeri Sembilan,2020,domestic_visitors_thousand,7918.0
Negeri Sembilan,2021,domestic_visitors_thousand,5485.0
Negeri Sembilan,2022,domestic_visitors_thousand,11490.0
Negeri Sembilan,2023,domestic_visitors_thousand,14959.0
Negeri Sembilan,2024,domestic_visitors_thousand,17785.0
Negeri Sembilan,2018,domestic_trips_thousand,17541.0
Negeri Sembilan,2019,domestic_trips_thousand,19414.0
Negeri Sembilan,2020,domestic_trips_thousand,9567.0
Negeri Sembilan,2021,domestic_trips_thousand,6555.0
Negeri Sembilan,2022,domestic_trips_thousand,14279.0
Negeri Sembilan,2023,domestic_trips_thousand,17801.0
Negeri Sembilan,2024,domestic_trips_thousand,21817.0
Negeri Sembilan,2018,avg_receipts_per_capita_rm,377.0
Negeri Sembilan,2019,avg_receipts_per_capita_rm,381.0
Negeri Sembilan,2020,avg_receipts_per_capita_rm,282.0
Negeri Sembilan,2021,avg_receipts_per_capita_rm,221.0
Negeri Sembilan,2022,avg_receipts_per_capita_rm,318.0
Negeri Sembilan,2023,avg_receipts_per_capita_rm,319.0
Negeri Sembilan,2024,avg_receipts_per_capita_rm,330.0
Negeri Sembilan,2018,avg_receipts_per_trip_rm,275.0
Negeri Sembilan,2019,avg_receipts_per_trip_rm,261.0
Negeri Sembilan,2020,avg_receipts_per_trip_rm,233.0
Negeri Sembilan,2021,avg_receipts_per_trip_rm,185.0
Negeri Sembilan,2022,avg_receipts_per_trip_rm,256.0
Negeri Sembilan,2023,avg_receipts_per_trip_rm,268.0
Negeri Sembilan,2024,avg_receipts_per_trip_rm,269.0
Negeri Sembilan,2018,avg_length_of_stay_nights,2.46
Negeri Sembilan,2019,avg_length_of_stay_nights,2.46
Negeri Sembilan,2020,avg_length_of_stay_nights,1.9
Negeri Sembilan,2021,avg_length_of_stay_nights,1.72
Negeri Sembilan,2022,avg_length_of_stay_nights,2.48
Negeri Sembilan,2023,avg_length_of_stay_nights,2.42
Negeri Sembilan,2024,avg_length_of_stay_nights,2.25
Pahang,2018,total_receipts_rm_million,7405.0
Pahang,2019,total_receipts_rm_million,7601.0
Pahang,2020,total_receipts_rm_million,2748.0
