state,area,year,category,stations
Negeri Sembilan,coastal,2024,excellent,14.0
Negeri Sembilan,coastal,2024,good,
Negeri Sembilan,coastal,2024,moderate,
Negeri Sembilan,coastal,2024,poor,
Pahang,coastal,2020,excellent,9.0
Pahang,coastal,2020,good,5.0
Pahang,coastal,2020,moderate,8.0
Pahang,coastal,2020,poor,
Pahang,coastal,2021,excellent,18.0
Pahang,coastal,2021,good,1.0
Pahang,coastal,2021,moderate,3.0
Pahang,coastal,2021,poor,
Pahang,coastal,2022,excellent,17.0
Pahang,coastal,2022,good,3.0
Pahang,coastal,2022,moderate,2.0
Pahang,coastal,2022,poor,
Pahang,coastal,2023,excellent,22.0
Pahang,coastal,2023,good,
Pahang,coastal,2023,moderate,
Pahang,coastal,2023,poor,
Pahang,coastal,2024,excellent,20.0
Pahang,coastal,2024,good,2.0
Pahang,coastal,2024,moderate,
Pahang,coastal,2024,poor,
Perak,coastal,2020,excellent,5.0
Perak,coastal,2020,good,3.0
Perak,coastal,2020,moderate,
Perak,coastal,2020,poor,
Perak,coastal,2021,excellent,7.0
Perak,coastal,2021,good,
Perak,coastal,2021,moderate,1.0
Perak,coastal,2021,poor,
Perak,coastal,2022,excellent,6.0
Perak,coastal,2022,good,2.0
Perak,coastal,2022,moderate,
Perak,coastal,2022,poor,
Perak,coastal,2023,excellent,7.0
Perak,coastal,2023,good,1.0
Perak,coastal,2023,moderate,
Perak,coastal,2023,poor,
Perak,coastal,2024,excellent,8.0
Perak,coastal,2024,good,
Perak,coastal,2024,moderate,
Perak,coastal,2024,poor,
Pulau Pinang,coastal,2020,excellent,
Pulau Pinang,coastal,2020,good,6.0
Pulau Pinang,coastal,2020,moderate,11.0
Pulau Pinang,coastal,2020,poor,
Pulau Pinang,coastal,2021,excellent,3.0
Pulau Pinang,coastal,2021,good,4.0
Pulau Pinang,coastal,2021,moderate,10.0
Pulau Pinang,coastal,2021,poor,
