state,table,field,pdf_parser_value,xlsx_published_value,compared_at_dp,agree
Melaka,table_7,automotive_fuel:share,13.7,13.6681655150507,1,True
Melaka,table_7,transportation:receipts,313382.0,313381.580716204,0,True
Melaka,table_7,transportation:share,4.9,4.86737454258267,1,True
Melaka,table_7,food_and_beverage:receipts,1043776.0,1043775.58229676,0,True
Melaka,table_7,food_and_beverage:share,16.2,16.2116952943749,1,True
Melaka,table_7,accommodation:receipts,691100.0,691099.994382137,0,True
Melaka,table_7,accommodation:share,10.7,10.7340147795122,1,True
Melaka,table_7,pre_trip_package_entrance_tickets:receipts,252793.0,252793.143896257,0,True
Melaka,table_7,pre_trip_package_entrance_tickets:share,3.9,3.92632812154444,1,True
Melaka,table_7,other_activities:receipts,272357.0,272356.792972742,0,True
Melaka,table_7,other_activities:share,4.2,4.23018646336938,1,True
Melaka,table_7,expenditure_by_visited_households:receipts,562648.0,562648.458738839,0,True
Melaka,table_7,expenditure_by_visited_households:share,8.7,8.7389334696377,1,True
Melaka,table_7,total_receipts:receipts,6438411.0,6438411.05660878,0,True
Melaka,table_7,total_receipts:share,100.0,100,1,True
Melaka,table_13_income,"≤RM1,000",2.9,2.9,1,True
Melaka,table_13_income,"RM1,001-3,000",26.1,26.1,1,True
Melaka,table_13_income,"RM3,001-5,000",24.6,24.6,1,True
Melaka,table_13_income,"RM5,001-10,000",33.4,33.4,1,True
Melaka,table_13_income,"≥RM10,001",13.0,13,1,True
Melaka,table_12_accom,relatives_friends_house,43.7,43.7,1,True
Melaka,table_12_accom,hotel,29.2,29.2,1,True
Melaka,table_12_accom,chalet,4.4,4.4,1,True
Melaka,table_12_accom,apartment,8.1,8.1,1,True
Melaka,table_12_accom,homestay_vacation_home,12.7,12.7,1,True
Melaka,table_12_accom,rest_house,1.9,1.9,1,True
Negeri Sembilan,table_1,total_receipts_rm_million,4777.0,4777.28125500884,0,True
Negeri Sembilan,table_1,domestic_visitors_thousand,14959.0,14959.47,0,True
Negeri Sembilan,table_1,domestic_trips_thousand,17801.0,17800.523,0,True
Negeri Sembilan,table_1,avg_receipts_per_capita_rm,319.0,319.348296096642,0,True
Negeri Sembilan,table_1,avg_receipts_per_trip_rm,268.0,268.378701850998,0,True
Negeri Sembilan,table_1,avg_length_of_stay_nights,2.42,2.41840105295885,2,True
Negeri Sembilan,table_7,expenditure_by_visitors:receipts,4415922.0,4415922.22183873,0,True
Negeri Sembilan,table_7,expenditure_by_visitors:share,92.4,92.4358853104737,1,True
Negeri Sembilan,table_7,shopping:receipts,1803079.0,1803078.59468273,0,True
Negeri Sembilan,table_7,shopping:share,37.7,37.7427766638662,1,True
Negeri Sembilan,table_7,automotive_fuel:receipts,681417.0,681417.39301596,0,True
Negeri Sembilan,table_7,automotive_fuel:share,14.3,14.2637068374719,1,True
Negeri Sembilan,table_7,transportation:receipts,248823.0,248823.472023445,0,True
Negeri Sembilan,table_7,transportation:share,5.2,5.20847441758973,1,True
Negeri Sembilan,table_7,food_and_beverage:receipts,797144.0,797144.355932956,0,True
Negeri Sembilan,table_7,food_and_beverage:share,16.7,16.6861508331161,1,True
Negeri Sembilan,table_7,accommodation:receipts,521773.0,521772.56854223,0,True
Negeri Sembilan,table_7,accommodation:share,10.9,10.9219562485497,1,True
Negeri Sembilan,table_7,pre_trip_package_entrance_tickets:receipts,236613.0,236612.535776023,0,True
Negeri Sembilan,table_7,pre_trip_package_entrance_tickets:share,5.0,4.9528701189184,1,True
Negeri Sembilan,table_7,other_activities:receipts,127073.0,127073.301865389,0,True
Negeri Sembilan,table_7,other_activities:share,2.7,2.65995019096178,1,True
Negeri Sembilan,table_7,expenditure_by_visited_households:receipts,361359.0,361359.033170109,0,True
Negeri Sembilan,table_7,expenditure_by_visited_households:share,7.6,7.56411468952627,1,True
